1	4
2	2
2	4
3	2
4	1
4	2
4	7
5	2
5	3
5	4
5	7
6	2
6	7
7	7
7	9
8	2
8	3
8	4
9	2
9	9
10	7
10	9
11	1
11	2
11	7
12	2
12	7
13	2
13	7
14	2
14	7
15	1
15	6
17	1
18	1
18	5
19	1
19	6
20	1
20	5
20	6
21	1
21	9
22	1
23	1
24	1
25	1
25	9
26	1
27	1
27	9
28	1
28	8
29	8
30	8
31	8
32	8
33	8
34	1
34	8
35	1
36	1
36	3
36	8
37	1
37	8
38	1
38	8
39	1
39	6
40	1
40	6
40	5
41	1
41	8
41	3
42	2
42	7
43	1
43	2
43	7
44	2
44	3
44	4
44	7
45	2
45	3
45	7
46	2
46	3
46	4
46	7
47	2
47	7
48	2
48	7
49	1
49	2
49	7
50	1
50	2
50	7
51	1
51	2
51	3
51	7
52	2
52	7
53	2
53	7
54	1
54	2
54	7
55	2
55	7
56	2
56	7
57	2
57	7
58	7
59	7
60	9
61	2
61	7
62	2
62	7
63	2
63	7
64	2
64	7
65	2
65	7
66	2
66	7
67	7
67	9
68	2
68	7
69	4
70	9
71	1
71	7
72	7
72	9
73	7
73	9
74	7
74	9
75	2
75	7
76	9
77	1
77	4
78	4
78	6
79	6
79	8
80	7
81	4
81	6
82	4
82	6
83	6
83	8
84	4
84	6
85	6
85	8
86	4
86	6
87	1
87	8
88	1
88	8
89	1
89	6
90	6
91	1
91	2
91	7
